"name","location","park_id","start_date","end_date","description","permit_number","phone","website","type_name"
"Pier I Cafe","West 70 Street near Pier I","M353","2022-04-08","2040-04-07","Pier I Cafe is an outdoor cafe located along the Hudson River, in the newly constructed Riverside Park South.  Open air, scenic river views and dramatic sunsets, provide both an escape while adding another dimension to city life. Pier I Cafe offers a casual menu; the ingredients are high quality, fresh food.  Whether you order the Pat La Frieda burgers served on buns baked daily or the freshly squeezed blueberry lemonade,  you will have a relaxing and pleasurable experience.  Start your day sipping a latte or espresso at the coffee bar and end it with a white wine sangria or a thirst-quenching draft beer all while watching the boats go by.","M353-SB","(212) 362-4450","http://www.piericafe.com/","Snack Bar"
"Rockaway Beach Snack Bars","Beach 86th Street, Beach 97th Street, and Beach 106th Street","Q163","2021-05-15","2036-05-14","Rockaway Beach Snack Bars are located on the Rockaway Beach Boardwalk in Queens. Menu items vary by location. The 106th Street Caracas snack bar offers arepas, which are corn flour- pita like rounds filled with a variety of ingredients. The 97th Street location has 8 different counters offering items from burgers, to beachy Korean fair, Italian ices, and lobster rolls. There is also a beach shop at this location where you can purchase clothing, sun tan lotion, and other beach related items. Finally the Beach 86th Street location or the ""Rippers"" offer breakfast burritos, tortas, burgers, and cold drinks for the hot summer days.","Q163-SB","null","https://www.rockaway-bazaar.com/","Snack Bar"
"Ederle Terrace Snack Bar","Ederle Terrace, 61-30 Van Wyck Expressway, overlooking Meadow Lake","Q099","2014-07-26","2025-07-25","null","Q99(2)-SB","null","null","Snack Bar"
"Olmsted Cafeteria","Olmsted Center","Q099","2017-01-01","2022-04-05","null","Q99-J-SB","null","null","Snack Bar"
"Orchard Beach Snack Bar","3 Locations along the beach","X039","2012-05-04","2024-05-13","A friendly snack bar located in the Orchard Beach Park. Menu items include Hamburgers, hot dogs, chicken sandwiches, fried chicken, shish kabobs, fries, onion rings, nachos, wings, slushes, soda.","X39-C-BW-SB","(718) 518-1800","null","Snack Bar"
"Dunkin' Donuts","1320 Hutchinson River Parkway","X101","2020-03-18","2023-03-17","Dunkin' Donuts provides customers with high quality coffee, bagels, donuts and other baked goods.","X101-O-R","(718) 863-8692","null","Snack Bar"
"Wendy's","19 West 170th Street","X058","2020-11-01","2035-10-31","Wendy's in Keltch Memorial Park is located on 170th Street and Jerome Avenue. \r\nWendy's menu consists primarily of hamburgers, chicken sandwiches, French fries and beverages, including the Frosty. Wendy's is known for its square ground beef hamburgers and the Frosty, a very thick milkshake. Wendy's offers breakfast, lunch, and dinner.","X58-R","(718) 681-0483","null","Snack Bar"
"First Park Outdoor Cafe","Between East Houston Street and East First Street","M124","2011-11-07","2024-03-07","null","M124-SB","null","null","Snack Bar"
"Peter Minuit Snack Bar","Pavilion","M005","2011-02-24","2024-02-25","null","M5-PM-SB","null","null","Snack Bar"
"Battery Park Snack Bar","Battery Park","M005","2016-06-01","2024-05-31","null","M5-SB","null","null","Snack Bar"
"Dredsurfer LLC","Beach 17th Street","Q162","2014-01-01","2022-12-31","The DreadSurfer snack bar began operations in 2014. The menu offers smoothies and standard fair such as hot dogs, hamburgers, and french fries. The DreadSurfer also offers specialty items such as crab legs, salmon burgers and Caribbean specialties like jerk chicken, curry goat, and oxtail. There is seating available right on the boardwalk where you can enjoy great views while enjoying a glass of wine or beer.","Q162-2-SB","null","null","Snack Bar"
"Verdi Square Snack Bar","72nd Street and Broadway","M097","2016-07-27","2025-07-27","Le Pain Quotidien bakery and communal table serves simple, elegant boulangerie fare - soup, salads, tartines (open-faced sandwiches), breakfast, homemade pastries, and its signature handmade organic bread. A wide selection of breads is baked fresh daily in Le Pain Quotidien's central bakery in New York City and delivered every morning. The snack bar kiosk at Verdi Square offers ""to go"" coffee and pastries. The site also features an expanded seating area to comfortably enjoy a bite to eat.","M94-SB","null","http://www.lepainquotidien.com/","Snack Bar"
"Columbus Park Snack Bar","Brooklyn Borough Hall","B113C","2018-04-02","2030-04-01","null","B113-C-SB","null","null","Snack Bar"
"Prospect Park Snack Bar","Parade Grounds","B073","2014-08-18","2025-07-17","null","B73-SB","null","https://www.prospectpark.org/visit-the-park/places-to-go/parade-ground/","Snack Bar"
"Delacorte Theatre Snack Bar","The Delacorte Theatre","M010","2016-03-31","2023-12-30","null","M10-DT-SB","null","null","Snack Bar"
"Ocean Breeze Snack Bar","Ocean Breeze Athletic Complex","R149","2016-11-20","2025-01-19","null","R149-SB","null","null","Snack Bar"
"Hunter's Point South Snack Bar","Hunter's Point South Park","Q471","2022-07-06","2031-07-05","Set against the breathtaking backdrop of Manhattan's skyline, LIC Landing  features a spectacular 2000 sq-ft outdoor event space and a high-quality outdoor cafe.  It is located in Long Island City's beautiful, brand-new waterfront park at Hunters Point South.","Q471-SB","(347) 730-4802","https://www.frankottomanellislic.com/","Snack Bar"
"McCarren Parkhouse Cafe","Located inside the park adjacent to Lorimer Street, between Bedford Avenue and Driggs Avenue.","B058","2021-06-02","2041-06-01","The McCarren Parkhouse Cafe, offering sandwiches, ice cream, snack, and beverages for parkgoers.","B58-SB","null","https://mccarrenparkhouse.com/","Snack Bar"
"NY Dosas","North side of Washington Square at Sullivan Street","M098","2019-05-13","2024-05-12","The NY Dosas specialty cart, owned and operated by Thiru Kandasamy, known locally as ""the Dosa Guy,"" serves up traditional Indian vegan fare near the corner of Sullivan Street and Washington Square South in Washington Square Park.  NY Dosas' menu includes such specialties as uthappam, samosas dosas, and vegan drumsticks.  Mr. Kandasamy's cart has been a critic's pick in the New York Magazine Restaurant Guide, and in 2007, he was the recipient of the coveted Vendy Award.","M98-EC-CG","(917) 710-2092","null","Specialty Cart"
"CAF&Eacute; PRODUCTS CORP.","COLUMBUS CIR. BEHIND THE USS MAINE MONUMENT","M010","2023-04-21","2028-04-20","null","M10-W59-CG","null","null","Specialty Cart"
"Nandita Inc.","Great Lawn, W81st  East Of Delacorte Theater","M010","2023-05-05","2028-05-04","Gourmet cart offering crepes, hot dogs, ice cream, drinks and other related items.","M10-W81-GL-CG","null","null","Specialty Cart"
"Cafe Products Corp","Columbus Avenue and W. Street","M051","2018-05-11","2023-10-06","null","M51-CG","null","null","Specialty Cart"
"Nandita Inc.","72nd Street and 5th Avenue","M010","2023-05-05","2028-05-04","null","M10-E72-CG","null","null","Specialty Cart"
"Rice the Great Specialty Food Cart","Thomas Paine Park","M030","2019-06-25","2024-06-24","null","M30-1-CG","null","null","Specialty Cart"
"Imagination Playground Specialty Food Cart","Imagination Playground","M386","2017-11-02","2022-11-01","null","M386-CG","null","null","Specialty Cart"
"King David Taco","26 Street and 5th Avenue","M052","2019-06-10","2024-06-03","null","M52-CG","null","http://kingdavidtacos.com/","Specialty Cart"
"T. Roosevelt Park Specialty Food Cart","West 81 Street and Central Park West","M053","2023-05-05","2028-05-05","null","M53-CG","null","null","Specialty Cart"
"Battery Park Specialty Food Cart","Battery Place and Washington Street","M005","2018-03-19","2023-03-18","null","M5-CG","null","null","Specialty Cart"
"Riverside Park Specialty Food Cart","West 83rd Street and Riverside Park","M071","2017-09-01","2022-08-31","null","M71-83-CG","null","null","Specialty Cart"
"Rvierside Park Specialty Food Cart","West 101 Street and Riverside Park","M071","2019-04-19","2024-04-18","null","M71-W101-CG","null","null","Specialty Cart"
"Bowling Green Park Specialty Cart","Bowling Green Park","M007","2019-06-26","2024-06-25","null","M7-CG","null","null","Specialty Cart"
"Nandita Inc.","East 72nd Street 5th Avenue","M010","2023-05-05","2028-05-04","null","M10-E72-CG","null","null","Specialty Cart"
"Nandita Inc","Center Drive 61st Street","M010","2023-05-05","2028-05-04","null","M10-62-CD-CG","null","null","Specialty Cart"
